epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.47521695494651794,1.0912200212478638,0.4416154623031616,1.138242244720459
1,0.5021326541900635,1.022038221359253,0.48024582862854004,2.1114144325256348
2,0.5146344900131226,0.9914180040359497,0.385864794254303,4.050968170166016
3,0.548462986946106,0.9524506330490112,0.39464443922042847,1.1749019622802734
4,0.572878360748291,0.9030285477638245,0.533362627029419,0.9887347221374512
5,0.6265627145767212,0.8151741027832031,0.5768217444419861,0.9922156929969788
6,0.6548022031784058,0.7634539604187012,0.6224758625030518,0.8582467436790466
7,0.6967201232910156,0.695315420627594,0.61589115858078,0.8492975831031799
8,0.7223120927810669,0.6401136517524719,0.6725197434425354,0.7863175868988037
9,0.750845730304718,0.5833694338798523,0.7194907665252686,0.6719090938568115
10,0.774231493473053,0.533004879951477,0.651448667049408,0.8176004886627197
11,0.8048242330551147,0.4727891683578491,0.7330992221832275,0.6351918578147888
12,0.8195322751998901,0.4330623745918274,0.6273046731948853,0.8709547519683838
13,0.8560082316398621,0.3566858172416687,0.766022801399231,0.6051878333091736
14,0.8790998458862305,0.31126731634140015,0.7445127367973328,0.7315019369125366
15,0.8935137391090393,0.2667422592639923,0.7058823704719543,0.8259677886962891
16,0.9141049981117249,0.22075921297073364,0.7181738615036011,0.9595004320144653
17,0.9291072487831116,0.18614380061626434,0.7445127367973328,0.9559838175773621
